WKT,class_dbt,nome_dbt,tipo_dbt,dest_ind,sup_mq
"MULTIPOLYGON (((487052.92 5058619.089,487062.877 5058594.5426,487064.3283 5058595.131,487066.1035 5058589.7612,487066.6672 5058587.436,487066.7589 5058587.0576,487066.7121 5058586.1236,487065.9163 5058584.5997,487064.1841 5058583.3708,487061.0886 5058582.0463,487064.2835 5058586.5543,487057.362 5058603.6333,487056.2478 5058606.3828,487051.0915 5058619.106,487052.92 5058619.089)))",ac_ped,Area_di_circolazione_pedonale,su sede stradale,trasporto - pedonale/ciclabile,"80"
"MULTIPOLYGON (((485823.8374 5057582.1679,485822.1005 5057581.7288,485819.9744 5057585.4494,485818.3208 5057587.2477,485815.7017 5057589.3447,485800.0827 5057601.1536,485801.3458 5057603.3397,485802.2127 5057602.3787,485814.9235 5057592.7028,485818.5715 5057589.8048,485821.1814 5057587.0509,485822.5324 5057584.7889,485823.8374 5057582.1679)))",ac_ped,Area_di_circolazione_pedonale,su sede stradale,trasporto - pedonale/ciclabile,"65"
"MULTIPOLYGON (((486093.4828 5056273.4398,486090.4347 5056271.8641,486089.2428 5056274.3272,486092.2272 5056275.8702,486093.4828 5056273.4398)))",ac_ped,Area_di_circolazione_pedonale,non in sede stradale,trasporto - pedonale/ciclabile,"9"
"MULTIPOLYGON (((486999.0176 5056097.6015,486993.4629 5056095.857,486992.9869 5056097.3729,486998.5681 5056099.1116,486999.0176 5056097.6015)))",ac_ped,Area_di_circolazione_pedonale,non in sede stradale,trasporto - pedonale/ciclabile,"9"
"MULTIPOLYGON (((487495.156 5058587.957,487483.14 5058583.99,487483.01 5058584.46,487480.86 5058583.81,487481.0257 5058583.2571,487477.39 5058582.1,487476.09 5058584.27,487476.4702 5058584.7303,487498.5184 5058591.9349,487499.5226 5058589.379,487499.209 5058589.2769,487495.582 5058588.0959,487495.156 5058587.957)))",ac_ped,Area_di_circolazione_pedonale,su sede stradale,trasporto - pedonale/ciclabile,"64"
"MULTIPOLYGON (((486339.4629 5055960.5907,486334.1064 5055958.2283,486333.2561 5055960.1563,486338.6121 5055962.5185,486339.4629 5055960.5907)))",ac_ped,Area_di_circolazione_pedonale,non in sede stradale,trasporto - pedonale/ciclabile,"12"
"MULTIPOLYGON (((485904.1348 5056728.3492,485900.7586 5056726.6498,485899.0456 5056730.1033,485902.4157 5056731.7644,485904.1348 5056728.3492)))",ac_ped,Area_di_circolazione_pedonale,non in sede stradale,trasporto - pedonale/ciclabile,"14"
"MULTIPOLYGON (((486004.784 5059026.2851,485997.7611 5059025.3479,485997.5637 5059026.8271,486004.5862 5059027.7643,486004.784 5059026.2851)))",ac_ped,Area_di_circolazione_pedonale,non in sede stradale,trasporto - pedonale/ciclabile,"11"
"MULTIPOLYGON (((485792.1856 5059702.4719,485788.9786 5059697.974,485789.6037 5059702.035,485793.6658 5059725.1547,485800.8178 5059765.7486,485802.658 5059765.4573,485802.367 5059763.8783,485797.5308 5059736.2106,485795.8548 5059726.6207,485795.5278 5059724.7497,485795.4197 5059724.1297,485794.8127 5059720.6558,485794.4547 5059718.6078,485794.3347 5059717.9248,485792.5427 5059707.6679,485792.5807 5059705.9209,485792.1856 5059702.4719)))",ac_ped,Area_di_circolazione_pedonale,non in sede stradale,trasporto - pedonale/ciclabile,"129"
"MULTIPOLYGON (((485912.5898 5057260.8438,485914.0467 5057257.9632,485921.9745 5057240.24,485920.8102 5057239.6762,485919.8876 5057241.6166,485912.7338 5057257.352,485911.4979 5057260.0704,485903.8879 5057256.6094,485901.2169 5057249.6675,485899.8809 5057246.0545,485893.8959 5057230.1677,485890.6068 5057220.9218,485886.4118 5057207.9459,485883.8177 5057197.735,485881.9196 5057180.1492,485883.9575 5057180.9312,485884.5835 5057177.5633,485885.3724 5057166.8404,485886.2084 5057162.7705,485888.8199 5057154.568,485887.3691 5057154.3301,485884.6776 5057162.8083,485883.8962 5057167.5488,485883.1148 5057176.3917,485880.5969 5057176.2094,485880.5239 5057179.8084,485882.7323 5057198.2755,485885.1985 5057208.1166,485889.0187 5057220.8795,485898.0482 5057244.8555,485903.1583 5057257.9518,485904.0582 5057259.4105,485905.8498 5057260.575,485908.4946 5057261.5604,485911.0541 5057262.0083,485912.5898 5057260.8438)))",ac_ped,Area_di_circolazione_pedonale,su sede stradale,trasporto - pedonale/ciclabile,"205"
"MULTIPOLYGON (((487221.23 5058503.3577,487222.7676 5058501.8368,487223.7818 5058500.3159,487260.4187 5058411.3987,487266.9155 5058397.119,487265.8417 5058396.6479,487259.4903 5058410.8796,487258.8503 5058412.4306,487256.8905 5058417.1774,487249.8656 5058434.1914,487248.7877 5058433.7894,487247.2097 5058436.9734,487248.4907 5058437.5274,487241.1431 5058455.3136,487239.0512 5058460.3774,487223.2025 5058498.7418,487222.5926 5058500.1518,487221.9916 5058501.1828,487220.7646 5058502.2258,487219.3506 5058502.8938,487217.8356 5058503.2228,487216.3587 5058502.9918,487214.1787 5058502.3478,487212.5227 5058501.7147,487211.9715 5058502.5627,487216.3554 5058503.9799,487218.58 5058504.1181,487221.23 5058503.3577)))",ac_ped,Area_di_circolazione_pedonale,su sede stradale,trasporto - pedonale/ciclabile,"140"
